Date,Open,High,Low,Close,Volume,Code
2022-08-02,18.122000,18.938000,18.091999,18.525999,489527000,NVDA
2022-08-03,18.184000,18.968000,18.136999,18.893000,418146000,NVDA
2022-08-04,18.849001,19.274000,18.760000,19.215000,409652000,NVDA
2022-08-05,18.809999,19.229000,18.666000,18.989000,386068000,NVDA
2022-08-08,17.502001,18.239000,17.242001,17.792999,981859000,NVDA
2022-08-09,17.252001,17.447001,16.724001,17.086000,668263000,NVDA
2022-08-10,17.698000,18.118000,17.316999,18.097000,597422000,NVDA
2022-08-11,18.131001,18.707001,17.875999,17.941999,509327000,NVDA
2022-08-12,18.160000,18.718000,17.952999,18.709000,478094000,NVDA
2022-08-15,18.701000,19.164000,18.613001,19.032000,457666000,NVDA
2022-08-16,18.920000,19.142000,18.500999,18.879000,451240000,NVDA
2022-08-17,18.523001,18.688000,18.145000,18.334999,446799000,NVDA
2022-08-18,18.301001,18.865000,18.183001,18.773001,415447000,NVDA
2022-08-19,18.406000,18.520000,17.770000,17.849001,441588000,NVDA
2022-08-22,17.490000,17.558001,16.966000,17.034000,409593000,NVDA
2022-08-23,16.989000,17.465000,16.969999,17.181000,369986000,NVDA
2022-08-24,17.011999,17.406000,16.895000,17.222000,522661000,NVDA
2022-08-25,16.844000,17.947001,16.833000,17.913000,770691000,NVDA
2022-08-26,17.857000,17.924000,16.237000,16.260000,769127000,NVDA
2022-08-29,16.020000,16.337999,15.767000,15.801000,496132000,NVDA
2022-08-30,15.960000,16.039000,15.182000,15.468000,530181000,NVDA
2022-08-31,15.384000,15.540000,14.959000,15.094000,573710000,NVDA
2022-09-01,14.209000,14.380000,13.270000,13.937000,1178865000,NVDA
2022-09-02,14.100000,14.171000,13.591000,13.647000,743157000,NVDA
2022-09-06,13.731000,13.779000,13.351000,13.465000,535751000,NVDA
2022-09-07,13.563000,13.838000,13.346000,13.714000,512657000,NVDA
2022-09-08,13.459000,14.008000,13.369000,13.990000,624873000,NVDA
2022-09-09,14.157000,14.474000,14.126000,14.387000,486612000,NVDA
2022-09-12,14.369000,14.547000,14.198000,14.505000,484159000,NVDA
2022-09-13,13.802000,13.922000,13.099000,13.131000,714956000,NVDA
2022-09-14,13.254000,13.290000,12.913000,13.128000,588507000,NVDA
2022-09-15,13.015000,13.233000,12.790000,12.929000,523625000,NVDA
2022-09-16,12.742000,13.212000,12.617000,13.198000,670751000,NVDA
2022-09-19,13.012000,13.463000,13.010000,13.382000,569685000,NVDA
2022-09-20,13.215000,13.483000,13.057000,13.176000,524818000,NVDA
2022-09-21,13.213000,14.031000,13.110000,13.261000,807679000,NVDA
2022-09-22,13.070000,13.149000,12.428000,12.561000,759162000,NVDA
2022-09-23,12.420000,12.611000,12.257000,12.516000,663309000,NVDA
2022-09-26,12.491000,12.659000,12.214000,12.228000,547343000,NVDA
2022-09-27,12.507000,12.736000,12.258000,12.413000,553854000,NVDA
2022-09-28,12.410000,12.823000,12.354000,12.736000,542414000,NVDA
2022-09-29,12.448000,12.500000,11.946000,12.220000,532763000,NVDA
2022-09-30,12.087000,12.633000,12.075000,12.139000,565638000,NVDA
2022-10-03,12.347000,12.678000,12.105000,12.512000,547478000,NVDA
2022-10-04,12.879000,13.220000,12.879000,13.167000,584182000,NVDA
2022-10-05,12.911000,13.321000,12.621000,13.209000,507131000,NVDA
2022-10-06,13.220000,13.656000,13.103000,13.130000,644157000,NVDA
2022-10-07,12.505000,12.670000,12.022000,12.076000,672478000,NVDA
2022-10-10,12.037000,12.124000,11.408000,11.670000,698699000,NVDA
2022-10-11,11.561000,11.846000,11.283000,11.586000,667482000,NVDA
2022-10-12,11.579000,11.735000,11.345000,11.500000,492590000,NVDA
2022-10-13,10.971000,12.078000,10.813000,11.960000,850103000,NVDA
2022-10-14,12.057000,12.111000,11.204000,11.227000,713432000,NVDA
2022-10-17,11.518000,11.948000,11.517000,11.888000,580774000,NVDA
2022-10-18,12.344000,12.492000,11.618000,11.967000,659362000,NVDA
2022-10-19,11.879000,12.350000,11.834000,12.051000,523131000,NVDA
2022-10-20,12.113000,12.769000,12.105000,12.194000,652398000,NVDA
2022-10-21,12.098000,12.498000,11.887000,12.466000,609494000,NVDA
2022-10-24,12.508000,12.710000,12.064000,12.599000,517457000,NVDA
2022-10-25,12.694000,13.300000,12.664000,13.261000,505482000,NVDA
2022-10-26,12.869000,13.388000,12.708000,12.896000,532953000,NVDA
2022-10-27,13.630000,13.838000,13.122000,13.176000,583113000,NVDA
2022-10-28,13.104000,13.850000,13.061000,13.834000,521040000,NVDA
2022-10-31,13.778000,13.838000,13.297000,13.497000,486341000,NVDA
2022-11-01,13.811000,13.925000,13.519000,13.543000,432817000,NVDA
2022-11-02,13.850000,14.210000,13.211000,13.219000,672628000,NVDA
2022-11-03,13.043000,13.781000,12.956000,13.421000,500065000,NVDA
2022-11-04,13.986000,14.229000,13.697000,14.156000,612576000,NVDA
